"","id","name","feature","subfeature"
"1","node/1018275023",NA,"shop","convenience"
"2","node/2618749451","全聯福利中心","shop","mall"
"3","node/3820884818","7-Eleven","shop","convenience"
"4","node/4375587198","Costco Beitou","shop","supermarket"
"5","node/2386680389","麥當勞","amenity","restaurant"
"6","node/2387050853",NA,"amenity","post_box"
"7","node/2387050854","北投一德郵局","amenity","post_offic"
"8","node/2713686338",NA,"amenity","toilets"
"9","node/2713686342",NA,"amenity","toilets"
"10","node/3752443026",NA,"amenity","drinking_w"
"11","node/3811019335",NA,"amenity","parking"
"12","node/3820884817","橘子牛奶","amenity","restaurant"
"13","node/3820884823","老湖南館","amenity","restaurant"
"14","node/3820884834",NA,"amenity","parking"
