"","id","name","feature","subfeature"
"1","node/1720014710","7-11","shop","convenience"
"2","node/1720014718","全家便利商店","shop","convenience"
"3","node/1720014730","愛買大直店","shop","supermarket"
"4","node/1837948005","全聯福利中心","shop","supermarket"
"5","node/2143411204",NA,"shop","vacant"
"6","node/3558043028","單車喜客","shop","bicycle"
"7","node/3617826824","【漿自然】全鼎香食品","shop","supermarket"
"8","node/3706804929","台灣第一味","shop","beverages"
"9","node/3706805426","清玉","shop","beverages"
"10","node/3706805626","7-Eleven","shop","convenience"
"11","node/3706824984","7-Eleven","shop","convenience"
"12","node/4205229654","好車大聯盟","shop","car"
"13","node/4343743689","7-11","shop","convenience"
"14","node/1720014708","濱江國中地下停車場","amenity","parking"
"15","node/1720014709","MOS Burger 摩斯漢堡","amenity","fast_food"
"16","node/1720014715","隨意鳥地方","amenity","restaurant"
"17","node/1720014717",NA,"amenity","parking"
"18","node/1720014723",NA,"amenity","parking"
"19","node/1720014724","水舞饌","amenity","restaurant"
"20","node/1720014729",NA,"amenity","parking"
"21","node/1720014732","五角船版","amenity","restaurant"
"22","node/1720014733","Miramar Cinema 美麗華影城","amenity","cinema"
"23","node/1766418755","Le ple dor","amenity","restaurant"
"24","node/1766418756","T.G.I. Fridays","amenity","restaurant"
"25","node/1766464226","Häagen-Dazs","amenity","fast_food"
"26","node/1766472949","Thai Town Cuisine","amenity","restaurant"
"27","node/1766472950","2011 Teppanyaki &Wine","amenity","restaurant"
"28","node/1837852875","漢堡王","amenity","fast_food"
"29","node/1837857040","來來豆漿","amenity","restaurant"
"30","node/1839925267","渣打銀行","amenity","bank"
"31","node/1846853543","聯邦銀行","amenity","bank"
"32","node/1993453983","Starbucks","amenity","cafe"
"33","node/2143411197","金宴","amenity","restaurant"
"34","node/2143411201","裕濠小館","amenity","restaurant"
"35","node/2143411203","金春發牛肉麵","amenity","restaurant"
"36","node/2148975718","勝博殿","amenity","restaurant"
"37","node/2509668585","捷運劍南路站(植福)","amenity","bus_statio"
"38","node/3066788304","山海傳蔬食回轉火鍋","amenity","restaurant"
"39","node/3273277948","捷運劍南路站(2號出口)","amenity","bicycle_re"
"40","node/3451905268",NA,"amenity","drinking_w"
"41","node/3558043310","愛買廁所","amenity","toilets"
"42","node/3650916075","卡發咖啡專賣店","amenity","cafe"
"43","node/3706804630","內湖北勢湖郵局","amenity","post_offic"
"44","node/3706805830",NA,"amenity","post_box"
"45","node/3706808525","夯麵坊","amenity","restaurant"
"46","node/3706808625","打貓鵝肉亭","amenity","restaurant"
"47","node/3706808725","和巧味無骨鴨肉麵","amenity","restaurant"
"48","node/3706824983","臺北樂群二路郵局","amenity","post_offic"
"49","node/3749476817","牛角日本燒肉專門店","amenity","restaurant"
"50","node/4205230067",NA,"amenity","post_box"
"51","node/4343743489","加貝爾廚藝工作坊","amenity","restaurant"
"52","node/4411109096","大食代","amenity","restaurant"
