"","id","name","feature","subfeature"
"1","node/1282486462","Pezzo","shop","bakery"
"2","node/1947370982","Tartine Bakery","shop","bakery"
"3","node/2530320294","屈臣氏","shop","chemist"
"4","node/2676878121","山西刀削麵","shop","deli"
"5","node/2676909400","林曉同概念店","shop","jewelry"
"6","node/2787383689","Zara","shop","clothes"
"7","node/2787383718","單身貴族","shop","clothes"
"8","node/2787383720","NET","shop","clothes"
"9","node/2787383725","swatch","shop","yes"
"10","node/2787383728","遠傳電信 東區直營店","shop","mobile_phone"
"11","node/2787383731","SO NICE","shop","clothes"
"12","node/2787383734","adidas","shop","sports"
"13","node/2787426156","全家便利商店","shop","convenience"
"14","node/2787426159","7-ELEVEN","shop","convenience"
"15","node/2787426166","日式威廉","shop","hairdresser"
"16","node/2787513528","MIHO","shop","clothes"
"17","node/2787513532","design boutique","shop","clothes"
"18","node/2787513537","一禾堂麵包本鋪","shop","bakery"
"19","node/2787513548","亞蒂髮藝","shop","hairdresser"
"20","node/2787513551","陳氏珠寶","shop","jewelry"
"21","node/2787513554","斐瑟","shop","clothes"
"22","node/2787513572","全家便利商店","shop","convenience"
"23","node/2787513576","太平洋鮮活超市","shop","supermarket"
"24","node/2787513580","瑪格麗坦","shop","clothes"
"25","node/2787513584","chantelle","shop","clothes"
"26","node/2858490222","福利社","shop","convenience"
"27","node/2969144318","全家便利商店 敦新店","shop","convenience"
"28","node/3080436553","順成蛋糕","shop","bakery"
"29","node/3098549372","誠品敦南店","shop","books"
"30","node/3276374911",NA,"shop","kiosk"
"31","node/3304641829","PUMA","shop","sports"
"32","node/3304641831","STEVE MADDEN","shop","shoes"
"33","node/3304641834","White Rabbit","shop","clothes"
"34","node/3304641835","clarks","shop","shoes"
"35","node/3304641836","ecco","shop","shoes"
"36","node/3304641837","kila kila","shop","boutique"
"37","node/3304641838","salad","shop","clothes"
"38","node/3304641843","伊芝精品","shop","clothes"
"39","node/3304641844","全聯福利中心 敦南店","shop","supermarket"
"40","node/3304641845","北安集品","shop","clothes"
"41","node/3304641850",NA,"shop","clothes"
"42","node/3304641868","瑪榭襪品","shop","clothes"
"43","node/3304641869","皮爾卡登女性內衣","shop","clothes"
"44","node/3304642004","美珍香忠孝二店","shop","yes"
"45","node/3304642007","頂好","shop","supermarket"
"46","node/3304642008","頂好名店城","shop","mall"
"47","node/3311796692","MANGO","shop","clothes"
"48","node/3311796696","RAY NEW ERA","shop","clothes"
"49","node/3311796698","US COUNTRY STORE","shop","clothes"
"50","node/3311796701","graniph","shop","clothes"
"51","node/3311796702","take five 台北店","shop","clothes"
"52","node/3311796752","茶堀出軌","shop","beverages"
"53","node/3311796753","野獸國玩具","shop","toys"
"54","node/3311796755","2(X)IST","shop","clothes"
"55","node/3311796756","7-ELEVEN","shop","convenience"
"56","node/3454018624","Lalos","shop","bakery"
"57","node/3592556104","7-11","shop","convenience"
"58","node/3592589612","Uniqlo","shop","clothes"
"59","node/3617820909","日月德養 麝香貓咖啡","shop","yes"
"60","node/3670374291","Forever 21","shop","clothes"
"61","node/3733954104","J Nail Studio","shop","beauty"
"62","node/3799442392","全家便利商店","shop","convenience"
"63","node/4114512309","台灣鐵三角展示中心","shop","electronics"
"64","node/4128272393","248 農學市集","shop","farm"
"65","node/4178007534",NA,"shop","vacant"
"66","node/4301001255","Hangten","shop","clothes"
"67","node/4301001256","IF","shop","clothes"
"68","node/4301001258","中美鐘錶","shop","watches"
"69","node/4301001263",NA,"shop","vacant"
"70","node/4301004797","7-Eleven","shop","convenience"
"71","node/4328118624","7-Eleven","shop","convenience"
"72","node/4360388402","Airwalk","shop","clothes"
"73","node/4360388405","GIORDANO","shop","clothes"
"74","node/4360388406","Hush Puppies","shop","shoes"
"75","node/4360388409","youth","shop","computer"
"76","node/4384257961","UNIQUE","shop","clothes"
"77","node/4464866292","東區3C手機","shop","mobile_phone"
"78","node/4524863561","品格","shop","gift"
"79","node/4524863613","HANGTEN","shop","clothes"
"80","node/4524863996","7-Eleven","shop","convenience"
"81","node/4524864000","天香花苑","shop","florist"
"82","node/4524864002","燦坤3C","shop","computer"
"83","node/4524864006","玩具e哥","shop","toys"
"84","node/4524864007","伊夢","shop","clothes"
"85","node/4524864008","晶碩光學","shop","optician"
"86","node/4524864009","QBHOUSE","shop","hairdresser"
"87","node/4524864010","RIng","shop","clothes"
"88","node/4524864011","日藥本舖","shop","chemist"
"89","node/4524864012","足適姿","shop","shoes"
"90","node/4524864013","Rabbit","shop","clothes"
"91","node/4524864014","One More Drinks","shop","beverages"
"92","node/4524864015","Phone House","shop","mobile_phone"
"93","node/4524864016","TOUCH IDEA FUTURE DESIGN","shop","mobile_phone"
"94","node/4524864017","7-Eleven","shop","convenience"
"95","node/4524864018","W圍的世界","shop","bed"
"96","node/4524864530","義美食品","shop","convenience"
"97","node/1281234333","Diary","amenity","restaurant"
"98","node/1924425158","N.Y. Bagels Cafe","amenity","restaurant"
"99","node/1947348386","圍爐","amenity","restaurant"
"100","node/1947370956","雅室牛排","amenity","restaurant"
