"","id","name","feature","subfeature"
"1","node/2746832740","頂好超市","shop","supermarket"
"2","node/3034547908","7-ELEVEn","shop","convenience"
"3","node/3133635791","北大機車","shop","motorcycle"
"4","node/3133643374","墊腳石書店","shop","books"
"5","node/3133652545","全家","shop","convenience"
"6","node/3136977851","7 ELEVEn新福慶門市","shop","convenience"
"7","node/3136977989","士林伯豆花店","shop","ice_cream"
"8","node/3369460194","誠品文具館","shop","stationery"
"9","node/3648935111","金興發","shop","variety_store"
"10","node/3648935112","金興發","shop","variety_store"
"11","node/3667181095","禾悅生活科技","shop","furniture"
"12","node/3667181097","Gogoro 士林站","shop","motorcycle"
"13","node/3752248726","快取寶","shop","kiosk"
"14","node/3752985283","建發號豆花","shop","ice_cream"
"15","node/3752985286","源味本鋪古早味現烤蛋糕","shop","yes"
"16","node/3835835006","全家便利商店","shop","convenience"
"17","node/3835835412","全家便利商店","shop","convenience"
"18","node/3835835528","7-Eleven","shop","convenience"
"19","node/3857683718","捷安特仕林車行","shop","bicycle"
"20","node/3857683726","來運國際","shop","clothes"
"21","node/4307603546","上方通信","shop","mobile_phone"
"22","node/4307603555","屈臣氏","shop","chemist"
"23","node/4307603556","屈臣氏","shop","chemist"
"24","node/4307603558","康是美","shop","chemist"
"25","node/4307603559","康是美","shop","chemist"
"26","node/4329768685","快取寶","shop","kiosk"
"27","node/4329769534","萊爾富","shop","convenience"
"28","node/4410823893","OK","shop","convenience"
"29","node/4410823894","seven eleven","shop","convenience"
"30","node/4410824046","Timberland","shop","clothes"
"31","node/4410824047",NA,"shop","greengrocer"
"32","node/4430883490","果猪","shop","beverages"
"33","node/4430885389",NA,"shop","clothes"
"34","node/4483165493","Basketball","shop","sports"
"35","node/4483292890","屈臣氏","shop","chemist"
"36","node/4483297089","芭樂芭飲料店","shop","beverage"
"37","node/4483297191","特力屋","shop","deli"
"38","node/4483300289","Basketball","shop","sports"
"39","node/4483301789","朋友禮品店","shop","gift"
"40","node/4483303089","金興發生活百貨","shop","gift"
"41","node/4483303091","銀箭彩色","shop","photo"
"42","node/4483303389","金興發生活費百貨","shop","variety_store"
"43","node/4483303489","basketball","shop","sports"
"44","node/4483308490","遠傳","shop","electronics"
"45","node/4483308491","銀箭照相館","shop","photo"
"46","node/4483309689","遠傳","shop","electronics"
"47","node/4483309989","年青人眼鏡","shop","optician"
"48","node/4483311589","nike","shop","sports"
"49","node/4483312089","襪舍","shop","clothes"
"50","node/4483312096","timid's","shop","organic"
"51","node/4483312097","寵物公園","shop","pet"
"52","node/4483312890","芭樂芭","shop","beverage"
"53","node/4483312891","mesa","shop","clothes"
"54","node/4483313090","遠傳","shop","electronics"
"55","node/4483313092","Nike","shop","sports"
"56","node/4483313093","adidas","shop","sports"
"57","node/4483314190","nike","shop","shoes"
"58","node/4483314292","寵物公園","shop","pet"
"59","node/4483314293","ps國際髮廊","shop","hairdresser"
"60","node/4483315992","7-11","shop","convenience"
"61","node/4483316089","nike","shop","shoes"
"62","node/4483316189","rookie","shop","shoes"
"63","node/4483316194","7-11","shop","convenience"
"64","node/4483316196","飛來發","shop","furniture"
"65","node/4483316289","rookie","shop","shoes"
"66","node/4483316489","new balance","shop","shoes"
"67","node/4483316589","vivo","shop","beauty"
"68","node/4483316591","尚智運動世界","shop","shoes"
"69","node/4483316689","vivo","shop","beauty"
"70","node/4483316691","清心福全","shop","beverages"
"71","node/4483316790","reuse house","shop","beauty"
"72","node/4483316792","新東陽","shop","gift"
"73","node/4483317491","Queen shop","shop","beauty"
"74","node/4483317493","gogolo","shop","bicycle"
"75","node/4483317494","御貓園","shop","pet"
"76","node/4483322989","easy shop","shop","clothes"
"77","node/4483322991","奧創髮藝","shop","hairdresser"
"78","node/4483322997","美體小舖","shop","gift"
"79","node/4483333790","niki","shop","sports"
"80","node/4483333791","niki","shop","sports"
"81","node/4483338489","Nike","shop","sports"
"82","node/4483338491","ABC-MART","shop","shoes"
"83","node/4483338592","國昌眼鏡","shop","mall"
"84","node/4483338593","adida","shop","shoes"
"85","node/4483338594","ABC-MART","shop","shoes"
"86","node/4483350791","爵柿","shop","gift"
"87","node/4483356190","adida","shop","shoes"
"88","node/4483357389","三花生活館","shop","department_store"
"89","node/4483368491","Beagle","shop","electronics"
"90","node/4534474189","50 嵐","shop","beverages"
"91","node/4534479390","貢茶","shop","beverages"
"92","node/4534491589",NA,"shop","bookmaker"
"93","node/4534519389",NA,"shop","cosmetics"
"94","node/332503734","Modern Toilet","amenity","restaurant"
"95","node/2594858978","咖啡弄(劍潭店)","amenity","cafe"
"96","node/2599899100","文林派出所","amenity","police"
"97","node/2917544006","毫光-回田蔬苑","amenity","restaurant"
"98","node/3032950769","百齡高中地下停車場","amenity","parking"
"99","node/3034546893","中華動物醫院","amenity","veterinary"
"100","node/3034548731",NA,"amenity","post_box"
"101","node/3066177633",NA,"amenity","doctors"
"102","node/3133650431","三商巧福","amenity","restaurant"
"103","node/3136857874","海豐生猛活海鮮","amenity","restaurant"
"104","node/3137048084",NA,"amenity","toilets"
"105","node/3276377369","士林運動中心","amenity","bicycle_re"
"106","node/3596859031","海豐生猛活海鮮","amenity","restaurant"
"107","node/3667181096","Go Station 換電站 - 禾悅生活士林店","amenity","charging_s"
"108","node/3667181098","Go Station 換電站 - Gogoro 士林店","amenity","charging_s"
"109","node/3725957024",NA,"amenity","toilets"
"110","node/3751073956",NA,"amenity","toilets"
"111","node/3751073958",NA,"amenity","drinking_w"
"112","node/3752985285","海友十全排骨","amenity","restaurant"
"113","node/3763974840","承德公園地下停車場","amenity","parking"
"114","node/3835834767","武聖宮","amenity","place_of_w"
"115","node/3835835411","士林街福德宮","amenity","place_of_w"
"116","node/3835835529",NA,"amenity","telephone"
"117","node/3835835757","金仙","amenity","restaurant"
"118","node/3835835758","彰化銀行","amenity","bank"
