"","id","name","feature","subfeature"
"1","node/2136868595","宇唐汽車音響","shop","hifi"
"2","node/2136868596","德龍機車行","shop","motorcycle"
"3","node/2143411205","斐儷髮型工作室","shop","hairdresser"
"4","node/2179271487","7-Eleven","shop","convenience"
"5","node/2179271533","全家便利商店","shop","convenience"
"6","node/2210700234","摩訶古美術","shop","antique"
"7","node/2678593590",NA,"leisure","playground"
"8","node/2678593591",NA,"leisure","playground"
"9","node/2678593592",NA,"leisure","playground"
"10","node/2678593593",NA,"leisure","playground"
"11","node/2143411202","故宮廣場 機車停車場","amenity","motorcycle"
"12","node/2143411206","天鵝堡","amenity","kindergart"
"13","node/2166427494","士林臨溪里里民活動中心","amenity","community_"
"14","node/2179271453","故宮廣場汽車停車場","amenity","parking"
"15","node/2179271585","青青食尚花園會館","amenity","restaurant"
"16","node/2179271668","媞米咖啡","amenity","cafe"
"17","node/2179271709","衛理女中停車場","amenity","parking"
"18","node/2651257046",NA,"amenity","post_box"
"19","node/4006794863",NA,"amenity","toilets"
"20","node/4006794864",NA,"amenity","vending_ma"
"21","node/4006794865",NA,"amenity","vending_ma"
"22","node/4008549753","富春居","amenity","restaurant"
"23","node/4008756814",NA,"amenity","taxi"
"24","node/4239566490","三希堂茶館","amenity","cafe"
"25","node/4269587999",NA,"amenity","place_of_w"
